,date,text,polarity,Vader Sentiment
167,2021-02-05 02:51:10,"['_bickett', 'Will', 'still', 'use', 'hot', 'gas', 'maneuvering', '(RCSthrustersas', '~5X', 'more', 'efficient', 'than', 'nitrogen', '(300', 'sec', 'vs', '60', 'sec', 'Isp)']",0.1375,0.0
168,2021-02-05 02:46:39,"['_bickett', 'Higher', 'Isp', 'too']",0.25,0.0
169,2021-02-05 02:44:05,"['_bickett', 'Intuitivelyit', 'would', 'seem', 'sobut', 'turbopump-fed', 'Raptors', 'have', 'much', 'higher', 'thrust', '&amppropellant', 'mass', 'fraction', 'than', 'pressure-fed', 'gas', 'thrusters', '&ampthey’re', 'already', 'there']",0.25,0.0
170,2021-02-04 22:01:09,['Yes'],0.0,0.0
171,2021-02-04 21:54:00,"['RT', 'Falcon', '9', 'will', 'launch', '’s', 'SPHEREx', 'mission', 'which', 'will', 'collect', 'data', 'on', 'more', 'than', '300', 'million', 'galaxies', 'and', 'explore', 'how', 'the', 'un…']",0.5,0.0
172,2021-02-04 21:53:48,"['RT', 'Falcon', '9', 'launches', '60', 'Starlink', 'satellites', 'to', 'orbit', 'mission', 'from', 'pad', '39A', 'on', 'deck']",0.0,0.0
173,2021-02-04 21:27:23,"['It’s', 'true!']",0.4375,0.0
174,2021-02-04 20:32:19,"['_bickett', 'YeahBy', 'defaultengine', 'with', 'least', 'lever', 'arm', 'would', 'shut', 'down', 'if', 'all', '3', 'are', 'good.']",0.08148148148148145,0.0
175,2021-02-04 20:28:05,"['Yesbut', 'engines', 'have', 'a', 'min', 'throttle', 'point', 'where', 'there', 'is', 'flameout', 'riskso', 'landing', 'on', '3', 'engines', 'means', 'high', 'thrust/weight', '(further', 'away', 'from', 'hover', 'point)which', 'is', 'also', 'risky']",0.08,0.0
176,2021-02-04 20:16:29,['Yes'],0.0,0.0
177,2021-02-04 20:13:49,"['It', 'was', 'foolish', 'of', 'us', 'not', 'to', 'start', '3', 'engines', '&ampimmediately', 'shut', 'down', '1as', '2', 'are', 'needed', 'to', 'land']",-0.15555555555555559,0.0
178,2021-02-04 10:08:21,"['I', 'am', 'become', 'meme,', 'Destroyer', 'of', 'shorts']",0.0,0.0
179,2021-02-04 09:36:59,"['_cruz', 'Might', 'actually', 'happen']",0.0,0.0
180,2021-02-04 09:34:47,"['Sandstorm', 'is', 'a', 'masterpiece']",0.0,0.0
181,2021-02-04 09:15:42,"['We', 'were', 'too', 'dumb']",-0.375,0.0
182,2021-02-04 08:44:12,"['Next', 'timewe', 'try', 'pull', '*upmethod']",0.0,0.0
183,2021-02-04 08:43:13,"['Low-key', 'Loki']",0.0,0.0
184,2021-02-04 08:27:10,"['No', 'highsno', 'lowsonly', 'Doge']",0.0,0.0
185,2021-02-04 08:17:17,"['No', 'need', 'to', 'be', 'a', 'gigachad', 'to', 'own']",0.6,0.0
186,2021-02-04 08:15:26,"['Dogecoin', 'is', 'the', 'people’s', 'crypto']",0.0,0.0
